species_code,com_name,class_name
566513,Colombian Red Howler Monkey,mammalia
74058,Maranhao Red-handed Howler Monkey,mammalia
1629047,Catalonian Midwife Toad,amphibia
24475,Iberian Midwife Toad,amphibia
24473,Common Midwife Toad,amphibia
rehfin1,Red-headed Finch,aves
cutthr1,Cut-throat,aves
legrob1,Lesser Ground-Robin,aves
grgrob1,Greater Ground-Robin,aves
redava,Red Avadavat,aves
grnava1,Green Avadavat,aves
zebwax2,Zebra Waxbill,aves
unicra1,Uniform Crake,aves
isabuh1,Isabelline Bush-hen,aves
talbuh1,Talaud Bush-hen,aves
rutbuh1,Pale-vented Bush-hen,aves
plabuh1,Plain Bush-hen,aves
whbwat1,White-breasted Waterhen,aves
blusee4,Ecuadorian Seedeater,aves
carsee1,Carrizal Seedeater,aves
blusee1,Blue Seedeater,aves
blbsee3,Blackish-blue Seedeater,aves
honeme1,Honduran Emerald,aves
cinhum1,Cinnamon Hummingbird,aves
rtlhum,Rufous-tailed Hummingbird,aves
bubhum,Buff-bellied Hummingbird,aves
amahum1,Amazilia Hummingbird,aves
bufpar,Turquoise-fronted Amazon,aves
blbpar1,Black-billed Amazon,aves
whfpar1,White-fronted Amazon,aves
orwpar,Orange-winged Amazon,aves
renpar1,Red-necked Amazon,aves
yenpar1,Yellow-naped Amazon,aves
relpar10,Red-lored Amazon,aves
yespar1,Yellow-shouldered Amazon,aves
retpar1,Red-tailed Amazon,aves
yebpar1,Yellow-billed Amazon,aves
relpar4,Diademed Amazon,aves
blcpar2,Blue-cheeked Amazon,aves
meapar,Mealy Amazon,aves
fespar1,Festive Amazon,aves
licpar,Lilac-crowned Amazon,aves
stvpar1,St. Vincent Amazon,aves
imppar1,Imperial Amazon,aves
kawpar1,Kawall's Amazon,aves
cubpar1,Cuban Amazon,aves
relpar9,Lilacine Amazon,aves
scnpar1,Scaly-naped Amazon,aves
ywcpar,Yellow-crowned Amazon,aves
yehpar,Yellow-headed Amazon,aves
respar2,Red-spectacled Amazon,aves
rebpar7,Red-browed Amazon,aves
tucpar1,Tucuman Amazon,aves
hispar1,Hispaniolan Amazon,aves
stlpar1,St. Lucia Amazon,aves
vinpar1,Vinaceous-breasted Amazon,aves
recpar,Red-crowned Amazon,aves
purpar1,Puerto Rican Amazon,aves
yelpar1,Yellow-lored Amazon,aves
bratea1,Brazilian Teal,aves
yebcac1,Yellow-billed Cacique,aves
362371,Clicker Round-winged Katydid,insecta
130354,Florida Oblong-winged Katydid,insecta
256584,Texas false katydid,insecta
213322,Oblong-winged Katydid,insecta
213323,Rattler Round-winged Katydid,insecta
gofbow1,Golden-fronted Bowerbird,aves
vogbow2,Vogelkop Bowerbird,aves
macbow2,MacGregor's Bowerbird,aves
strbow1,Streaked Bowerbird,aves
growea1,Grosbeak Weaver,aves
schbla1,Scarlet-headed Blackbird,aves
64906,Three-striped Poison Frog,amphibia
517357,Common River Frog,amphibia
64912,Cape River Frog,amphibia
464495,Poynton's River Frog,amphibia
anglar1,Angola Lark,aves
collar1,Collared Lark,aves
flalar1,Flappet Lark,aves
yebspa1,Yellow-browed Sparrow,aves
graspa1,Grassland Sparrow,aves
graspa,Grasshopper Sparrow,aves
batlar1,Bar-tailed Lark,aves
deslar1,Desert Lark,aves
rutlar2,Rufous-tailed Lark,aves
gralar2,Gray's Lark,aves
gybant1,Gray-bellied Antbird,aves
sespar1,See-see Partridge,aves
sanpar1,Sand Partridge,aves
46256,Harris' Antelope Squirrel,mammalia
46253,Texas Antelope Squirrel,mammalia
46255,White-tailed Antelope Squirrel,mammalia
46254,Nelson's Antelope Squirrel,mammalia
sstspa,Saltmarsh Sparrow,aves
lecspa,LeConte's Sparrow,aves
seaspa,Seaside Sparrow,aves
nstspa,Nelson's Sparrow,aves
42422,Aoudad,mammalia
gocmyn1,Golden-crested Myna,aves
scafru1,Scaled Fruiteater,aves
reccot1,Red-crested Cotinga,aves
chccot1,Chestnut-crested Cotinga,aves
gyhant1,Gray-headed Antbird,aves
342370,Clapping Cicada,insecta
342372,Chirping Cicada,insecta
81881,Chorus Cicada,insecta
bktspa,Black-throated Sparrow,aves
fisspa,Five-striped Sparrow,aves
kalgra1,Kalkadoon Grasswren,aves
grygra1,Gray Grasswren,aves
cargra2,Carpentarian Grasswren,aves
eyrgra1,Eyrean Grasswren,aves
blagra1,Black Grasswren,aves
shtgra1,Short-tailed Grasswren,aves
thbgra4,Thick-billed Grasswren,aves
sangra1,Sandhill Grasswren,aves
dusgra1,Dusky Grasswren,aves
rusgra1,Opalton Grasswren,aves
strgra2,Striated Grasswren,aves
thbgra1,Western Grasswren,aves
strgra4,Pilbara Grasswren,aves
whtgra1,White-throated Grasswren,aves
whbfog1,White-browed Foliage-gleaner,aves
obfgle2,Ochre-breasted Foliage-gleaner,aves
rutfog1,Rufous-tailed Foliage-gleaner,aves
mofgle1,Montane Foliage-gleaner,aves
stfgle1,Scaly-throated Foliage-gleaner,aves
prisun2,Principe Sunbird,aves
newsun2,Newton's Sunbird,aves
reisun2,Reichenbach's Sunbird,aves
ducfog1,Dusky-cheeked Foliage-gleaner,aves
wcfgle1,White-collared Foliage-gleaner,aves
143905,Mormon Cricket,insecta
abttyr1,Ash-breasted Tit-Tyrant,aves
jfttyr1,Juan Fernandez Tit-Tyrant,aves
ybttyr1,Yellow-billed Tit-Tyrant,aves
bkctit1,Black-crested Tit-Tyrant,aves
tuttyr1,Tufted Tit-Tyrant,aves
pcttyr1,Pied-crested Tit-Tyrant,aves
rehwea3,Red Weaver,aves
rehwea1,Red-headed Weaver,aves
208191,Golden Emperor,insecta
kenplo1,Kentish Plover,aves
punplo1,Puna Plover,aves
casplo1,Caspian Plover,aves
lessap1,Tibetan Sand-Plover,aves
dobplo1,Double-banded Plover,aves
colplo1,Collared Plover,aves
whfplo2,White-faced Plover,aves
twbplo1,Two-banded Plover,aves
wrybil1,Wrybill,aves
javplo1,Javan Plover,aves
grsplo,Greater Sand-Plover,aves
whfplo1,White-fronted Plover,aves
lessap2,Siberian Sand-Plover,aves
mouplo,Mountain Plover,aves
snoplo5,Snowy Plover,aves
rebdot1,Red-breasted Dotterel,aves
chbplo1,Chestnut-banded Plover,aves
kitplo1,Kittlitz's Plover,aves
malplo1,Malaysian Plover,aves
recplo1,Red-capped Plover,aves
sthplo1,St. Helena Plover,aves
madplo1,Madagascar Plover,aves
oriplo1,Oriental Plover,aves
wilplo,Wilson's Plover,aves
norpin,Northern Pintail,aves
andtea1,Andaman Teal,aves
spetea3,Andean Teal,aves
auitea1,Auckland Islands Teal,aves
whcpin,White-cheeked Pintail,aves
bertea1,Bernier's Teal,aves
captea1,Cape Teal,aves
chetea1,Chestnut Teal,aves
brotea1,Brown Teal,aves
gnwtea,Green-winged Teal,aves
mexduc,Mexican Duck,aves
eatpin1,Eaton's Pintail,aves
rebduc1,Red-billed Duck,aves
yebtea1,Yellow-billed Teal,aves
motduc,Mottled Duck,aves
yebpin1,Yellow-billed Pintail,aves
suntea1,Sunda Teal,aves
gretea1,Gray Teal,aves
layduc,Laysan Duck,aves
phiduc1,Philippine Duck,aves
melduc1,Meller's Duck,aves
caitea1,Campbell Islands Teal,aves
mallar3,Mallard,aves
isbduc1,Indian Spot-billed Duck,aves
ambduc,American Black Duck,aves
afbduc1,African Black Duck,aves
pabduc1,Pacific Black Duck,aves
mauduc1,Mauritius Duck,aves
yebduc1,Yellow-billed Duck,aves
hawduc,Hawaiian Duck,aves
spbduc,Eastern Spot-billed Duck,aves
afrope1,African Openbill,aves
asiope1,Asian Openbill,aves
46302,Madras Treeshrew,mammalia
638953,Chirping Trig,insecta
213545,Say's Trig,insecta
765756,Fulton's Trig,insecta
460377,Pink-spotted Trig,insecta
936357,Fast-tinkling Trig,insecta
960384,Slow-tinkling Trig,insecta
466774,Spring Trig,insecta
64968,American Toad,amphibia
64970,Western Toad,amphibia
64973,Great Plains Toad,amphibia
64975,Chihuahuan Green Toad,amphibia
64977,Fowler's Toad,amphibia
64978,Canadian Toad,amphibia
64984,Red-spotted Toad,amphibia
64985,Oak Toad,amphibia
64987,Texas Toad,amphibia
64988,Southern Toad,amphibia
64989,Woodhouse's Toad,amphibia
chwhoo1,Chestnut-winged Hookbill,aves
homtou1,Hooded Mountain-Toucan,aves
gybmot1,Gray-breasted Mountain-Toucan,aves
pbmtou1,Plate-billed Mountain-Toucan,aves
bbmtou1,Black-billed Mountain-Toucan,aves
135045,Andean Poison Frog,amphibia
tobhum1,Tooth-billed Hummingbird,aves
somgre1,Sombre Greenbul,aves
papwhi1,Papuan Whipbird,aves
1603483,Angustitrella roosevelti,insecta
horscr1,Horned Screamer,aves
anhing,Anhinga,aves
darter2,Oriental Darter,aves
darter4,Australasian Darter,aves
darter3,African Darter,aves
sbmtan1,Scarlet-bellied Mountain Tanager,aves
lamtan1,Lacrimose Mountain Tanager,aves
bkcmot1,Black-cheeked Mountain Tanager,aves
bcmtan2,Black-chinned Mountain Tanager,aves
bwmtan1,Blue-winged Mountain Tanager,aves
glamac1,Glaucous Macaw,aves
hyamac1,Hyacinth Macaw,aves
indmac1,Indigo Macaw,aves
parwea1,Parasitic Weaver,aves
brther2,Broad-tipped Hermit,aves
brnhor1,Brown Hornbill,aves
buchor1,Bushy-crested Hornbill,aves
ruchor1,Rusty-cheeked Hornbill,aves
grynod1,Gray Noddy,aves
bugnod,Blue-gray Noddy,aves
blknod,Black Noddy,aves
brnnod,Brown Noddy,aves
lesnod1,Lesser Noddy,aves
gwfgoo,Greater White-fronted Goose,aves
gragoo,Graylag Goose,aves
pifgoo,Pink-footed Goose,aves
snogoo,Snow Goose,aves
empgoo,Emperor Goose,aves
swagoo1,Swan Goose,aves
lwfgoo,Lesser White-fronted Goose,aves
taibeg1,Taiga Bean-Goose,aves
bahgoo,Bar-headed Goose,aves
rosgoo,Ross's Goose,aves
tunbeg1,Tundra Bean-Goose,aves
maggoo1,Magpie Goose,aves
1402636,Nornalup Frog,amphibia
40187,Yellow-footed Antechinus,mammalia
whgfly1,White-gorgeted Flycatcher,aves
rubfly3,Rufous-browed Flycatcher,aves
orbsun2,Orange-breasted Sunbird,aves
tolblo1,Tolima Blossomcrown,aves
samblo1,Santa Marta Blossomcrown,aves
redwat1,Red Wattlebird,aves
bruwat1,Little Wattlebird,aves
litwat1,Western Wattlebird,aves
yelwat1,Yellow Wattlebird,aves
reghon1,Regent Honeyeater,aves
chibel1,Chatham Islands Bellbird,aves
nezbel1,New Zealand Bellbird,aves
afptit1,African Penduline-Tit,aves
foptit1,Forest Penduline-Tit,aves
soptit1,Southern Penduline-Tit,aves
mcptit1,Mouse-colored Penduline-Tit,aves
yeptit1,Yellow Penduline-Tit,aves
septit1,Sennar Penduline-Tit,aves
orphor1,Oriental Pied-Hornbill,aves
maphor1,Malabar Pied-Hornbill,aves
blahor1,Black Hornbill,aves
palhor1,Palawan Hornbill,aves
sulhor2,Sulu Hornbill,aves
antman3,Puerto Rican Mango,aves
antman2,Hispaniolan Mango,aves
jamman1,Jamaican Mango,aves
bltman1,Black-throated Mango,aves
gnbman,Green-breasted Mango,aves
verman1,Veraguan Mango,aves
grtman1,Green-throated Mango,aves
greman1,Green Mango,aves
ancsun1,Anchieta's Sunbird,aves
vitsun1,Violet-tailed Sunbird,aves
mobsun1,Mouse-brown Sunbird,aves
pltsun3,Gray-throated Sunbird,aves
