common_name_ar




























منجبي رمادي الوجنات












































































لوريس نحيل رمادي






الهزار الاحمر












فيل الأدغال الأفريقي
فيل الغابات الأفريقي





قبرة الغاب
ابن آوى مخطط الجانبين
ابن آوى أسود الظهر


العندليب
هزار شائع

هزار أزرق الزور
قضاعة شرقية صغيرة المخالب
قضاعة أوراسية
قضاعة ناعمة الفراء







ثعلب الأنديز
ثعلب داروين
ثعلب أميركا الجنوبية الرمادي
ثعلب البامباس
ثعلب أشيب
كلب بري إفريقي


شنقب صغير


وشق كندي

وشق أيبيري
وشق أحمر




مكاك دبي
مكاك أسامي
مكاك تايواني
مكاك طويل الذيل
مكاك ياباني
مكاك ذيل الخنزير الشمالي
مكاك مور
مكاك ريسوسي
مكاك أروناشال
مكاك ذيل الخنزير الجنوبي
مكاك أسود متوج
مكاك مقلنس
مكاك ذيل الأسد
مكاك قلنسوي
مكاك بربري
مكاك تبيتي


































كنغر رمادي غربي
كنغر رمادي شرقي
























































































ميمون أبو الهول











صواي أوراسي

بط سماري







حذف رخامي











مرموط فانكوفري
خز أمريكي
خز المحيط الهادي
خز أصفر الحلق
خز الزان

خز الصنوبر الأوروبي
سمور








شادن أمريكا الوسطى الأحمر




































حوت أحدب























































































بط اسقطور ابيض الجناح
بط اسقطور مخملي


بط اسقطور سيبيري











قبرة شرقية صغيرة
قبرة شرقية كبيرة



























غرير أوروبي










باشق صياح داكن









































غرير ابن مقرض الفورموساني

الدرّة
























ظربان ذو القلنسوة
ظربان مخطط

بلقشة بيضاء

بلقشة شائعة

بلقشة حمراء الصدر


