common_name_mk







огнено конопјарче




























































































































































дамчеста барска кокошка
































































































































алпско попче




обично попче




























































































































































































































































































































































































































































карпеста ластовичка






















мал завој















































































жолтоклуна галка
црвеноклуна галка











зимовка
























































барска кокошка



















































































сабјарка




црвеноглаво кралче

жолтоглаво кралче








сипка торбарка











































































































































розев галеб





















































брегова ластовичка

тропрст галеб




























































































































































обично ливадарче
планинско ливадарче








































































































