common_name_he







תפוחית שחורת-סנטר
שחף אדום-מקור
שחף כהה
שחף עיטי
שחף לבן-עין
שחף שחור-ראש
שחף נידח











פזאי צפוני























עיטם לבן-גחון

עיטם אפריקני












שיחנית גמדית

שיחנית מערבית
שיחנית קטנה
שיחנית אסייתית

















































אירניה


















קיכלי צווארון

















יונקו כהה-עין




סבראש























קטופה








































פרושית אדומת-מקור


שכווי אירופי

שכווי שלג























למה מצויה
גואנקו
אלפקה



































































חנקן צפוני



חנקן אדום-גב

חנקן חום

חנקן גדול




חנקן ערבות


חנקן ספרדי
חנקן שחור-מצח

חנקן נובי
חנקן טורקסטני
חנקן חלוד-גב
חנקן אדום-ראש






חנקן הודי


שחף צפוני (אטלנטי/ צפון אמריקני / צפון פסיפי)
שחף ארמני


שחף אפרורי (אמריקני)
שחף כוזרי

שחף אפרורי

שחף עקוד-מקור
שחף דרומי
שחף שחור
שחף אפור-כנף
שחף איסלנדי

שחף לבן-כנף

שחף ימי
שחף צהוב-רגל



שחף צפחתי




זמיר תכול



זמיר חלוד-זנב





































סבכון טנסי











למור זנב-טבעת






אוצלוט












































































מרבו

















ארנבת השלג
ארנבת אירופית
















עגור סיבירי







שחף צוחק


שחף אפור-זנב



































חרטומנית קצרת-מקור
חרטומנית ארוכת-מקור
חרטומנית אסייתית












לימוזה אמריקנית
לימוזה חומת-בטן
לימוזה מצויה
תפוחית מצויה
תפוחית הרים

תפוחית תימנית






















צפרדע השור




צפרדע האחו




















חרגולן נחלים


חרגולן סהרוני
חרגולן זמירי





חרגולן מנומר


































לוטרה צפון-אמריקנית













מרגון מקושט



ירגזי מצויץ








































פסיון כסוף




























צלוב-מקור אדום
צלוב-מקור לבן-כנף

צלוב-מקור תוכיי
צלוב-מקור סקוטי








פיל סוואנה אפריקני
פיל יער אפריקני





חוגת עצים




זמיר מנומר
זמיר הירדן

כחול חזה

לוטרה אירופית
















חרטומית גמדית


שונר קנדי


שונר מצוי


שכווי קווקזי
שכווי שחור




מקוק יפני
































סערון-ענק דרומי
סערון-ענק צפוני












קנגורו אפור מזרחי

































































































ברווז אמריקני
שרשיר חרמש

ברווז צהוב-מצח

ברווז אפור







ברווז משויש








מרמיטה צפון-אמריקאית






דלק הסלעים

דלק אירופי























שלדג אמריקני






















לווייתן גדול-סנפיר






















































































קטיפנית אמריקנית
קטיפנית לבנת-כנף
קטיפנית שחומה
קטיפנית שחורה
קטיפנית משברים
קטיפנית סיבירית











עפרוני פסגות
עפרוני ענק


עפרוני שחור






















הודן בר

גירית אירופאית









נץ קולני בהיר
נץ קולני אפור
נץ קולני מזרחי










































תוכון







גיבתונית רוננת

















