common_name_lt
Abeilija
Kogelberg Moss Frog
Landdross Moss frog
Peninsula Moss Frog
Rough Moss Frog
Northern Moss Frog
De Villiers's Moss Frog
Common Squeaker
Bush Squeaker
Dwarf Squeaker
Jamaican Fruit-eating Bat
Great Fruit-eating Bat
Rusvakepurė nendrinukė siuvėja
Ilgasnapė nendrinukė siuvėja
Juosvoji musinukė
Kregždinė musinukė
Storasnapė nendrinukė
Pelkinis tironas
mangrove cicada
White Drummer
Vandeninis pelėnas
Baltasparnė muskusinė antis
Geoffroy's Trident Leaf-nosed Bat
juodasis tiaris
rudasis tiaris
Ašbija
Brown Speckled Cicada
Abisininė pelėda
Pelkinė pelėda
Dryžoji pelėda
Balinė pelėda
Jamaikinis apuokėlis
Madagaskarinė pelėda
Mažasis apuokas
Saliamoninė ausuotoji pelėda
Amerikinė pelėda
Mėlyngurklis momotas
Pouched Frog
Pietinė kanastera
