common_name_hu




lebenyes guán
pirosfarkú gyászkakadu
barnafejű hollókakadu
királykakotinga
mangrovepinty
harkálypinty
kis rovarevő fapinty
közepes rovarevő fapinty
nagy rovarevő fapinty
rövidfarkú kamaroptera




sárgavállú hernyóevő

pirosvállú hernyóevő


hercegharkály

császárharkály

Magellán-harkály
amazóniai ácsharkály

királyharkály









pettyes harkály



fakó csuk
narancsbegyű kakukkgébics
fehértorkú frankolin
Coqui-frankolin
Schlegel-frankolin
labradori réce







lila kardoskolibri


Santa Marta-i kardoskolibri
Napo-kardoskolibri
feketecsőrű sarlósfahágó




sarlóscsőrű fahágó
fehérszemű ökörszem
kaktuszökörszem

chiapasi ökörszem
szalagos ökörszem
barna ökörszem
bajszos ökörszem

Harlekin ökörszem
szürkecsíkos ökörszem
párduc ökörszem
pompás ökörszem
rigó ökörszem
yucatani ökörszem
csattogó ökörszem
lucfajd
pápaszemes guvat








szürke ökörszem
Guarayo ökörszem
csíkostorkú ökörszem
fehérfülű ökörszem
hosszúcsőrű ökörszem
fakó ökörszem
gesztenyeszínű ökörszem
ártéri ökörszem
pápaszemes ökörszem
csíkosmellű ökörszem






fehérhátú borbélymadár

pettyeshasú borbélymadár










sivatagi lappantyú
szavanna lappantyú
andamáni lappantyú
hindu lappantyú
maharadzsa lappantyú
erdei lappantyú
celebeszi lappantyú
szegélyesfarkú lappantyú
uszályos lappantyú
szunda-szigeteki lappantyú
Donaldson-lappantyú
lappantyú
pompás lappantyú
mozambiki lappantyú
kantáros lappantyú

dzsungel lappantyú
márványos lappantyú

hosszúszárnyú lappantyú
szélesfarkú lappantyú
madagaszkári lappantyú
Sykes-lappantyú
fülöp-szigeteki lappantyú
Mees-lappantyú
fokföldi lappantyú
núbiai lappantyú
fütyülő lappantyú

szürkefejű lappantyú
zairei lappantyú
Salvadori-lappantyú

rozsdásnyakú lappantyú
namíbiai lappantyú
solala lappantyú
csillagos lappantyú
foltos lappantyú
cifraszárnyú lappantyú


Guadalupe-karakara
bóbitás karakara
örvös lombjáró
sapkás lombjáró



kardinálispinty
bíborkardinális
kampóscsőrű kardinális

tengelic
citromcsicsörke
korzikai csicsörke
vöröslábú kígyászdaru



borneói földikakukk
korallcsőrű földikakukk
szumátrai földikakukk


Edwards-pirók
karmazsinpirók
Bonin-szigeteki meggyvágó


pompás pirók
sziklai pirók
vörösköpenyes pirók
Roborowski-pirók
rózsáshasú pirók
foltos pirók
rózsás pirók
kaukázusi pirók
hegyvidéki pirók
hosszúfarkú pirók

vérsüvöltő


